accepted delta gamma error Lprev Lstar alpha time
0 1.000000e-01 1.000000e+04 -4.568321e-04 -4.568321 -4.568321 0.000000 6.947219e-310
1 1.000000e-01 1.000000e+04 -4.228765e-04 -4.228765 -4.228765 1.000000 1.274825e+01
2 9.523810e-02 1.000000e+04 -4.151227e-04 -4.151227 -4.151227 1.000000 1.274744e+01
2 9.090909e-02 1.000000e+04 -4.740723e-04 -4.151227 -4.740723 0.554607 1.274614e+01
3 8.695652e-02 1.000000e+04 -3.521275e-04 -3.521275 -3.521275 1.000000 1.273869e+01
4 8.333333e-02 1.000000e+04 -4.214510e-04 -4.214510 -4.214510 0.499956 1.273979e+01
5 8.000000e-02 1.000000e+04 -3.112143e-04 -3.112143 -3.112143 1.000000 1.274199e+01
6 7.692308e-02 1.000000e+04 -4.395366e-04 -4.395366 -4.395366 0.277143 1.273982e+01
7 7.407407e-02 1.000000e+04 -4.758821e-04 -4.758821 -4.758821 0.695270 1.274096e+01
8 7.142857e-02 1.000000e+04 -4.233330e-04 -4.233330 -4.233330 1.000000 1.273997e+01
9 6.896552e-02 1.000000e+04 -2.593432e-04 -2.593432 -2.593432 1.000000 1.274087e+01
10 6.666667e-02 1.000000e+04 -3.504960e-04 -3.504960 -3.504960 0.401910 1.273893e+01
11 6.451613e-02 1.000000e+04 -2.414386e-04 -2.414386 -2.414386 1.000000 1.273794e+01
11 6.250000e-02 1.000000e+04 -2.606204e-04 -2.414386 -2.606204 0.825457 1.273841e+01
11 6.060606e-02 1.000000e+04 -4.290337e-04 -2.414386 -4.290337 0.153209 1.274585e+01
12 5.882353e-02 1.000000e+04 -2.368524e-04 -2.368524 -2.368524 1.000000 1.274068e+01
12 5.714286e-02 1.000000e+04 -3.284096e-04 -2.368524 -3.284096 0.400288 1.274210e+01
12 5.555556e-02 1.000000e+04 -2.745661e-04 -2.368524 -2.745661 0.685822 1.274450e+01
12 5.405405e-02 1.000000e+04 -2.695990e-04 -2.368524 -2.695990 0.720748 1.274035e+01
12 5.263158e-02 1.000000e+04 -3.694856e-04 -2.368524 -3.694856 0.265449 1.274622e+01
12 5.128205e-02 1.000000e+04 -3.152411e-04 -2.368524 -3.152411 0.456628 1.274154e+01
12 5.000000e-02 1.000000e+04 -3.594183e-04 -2.368524 -3.594183 0.293564 1.274652e+01
13 4.878049e-02 1.000000e+04 -2.601693e-04 -2.601693 -2.601693 0.792020 1.274484e+01
13 4.761905e-02 1.000000e+04 -3.600451e-04 -2.601693 -3.600451 0.368337 1.274334e+01
14 4.651163e-02 1.000000e+04 -2.213096e-04 -2.213096 -2.213096 1.000000 1.274653e+01
14 4.545455e-02 1.000000e+04 -3.373271e-04 -2.213096 -3.373271 0.313432 1.274963e+01
15 4.444444e-02 1.000000e+04 -2.226633e-04 -2.226633 -2.226633 0.986555 1.274040e+01
15 4.347826e-02 1.000000e+04 -2.549292e-04 -2.226633 -2.549292 0.724221 1.274278e+01
16 4.255319e-02 1.000000e+04 -3.249618e-04 -3.249618 -3.249618 0.359520 1.274808e+01
16 4.166667e-02 1.000000e+04 -3.941375e-04 -3.249618 -3.941375 0.500696 1.274556e+01
17 4.081633e-02 1.000000e+04 -5.248355e-04 -5.248355 -5.248355 0.135506 1.274273e+01
17 4.000000e-02 1.000000e+04 -6.442525e-04 -5.248355 -6.442525 0.302955 1.274124e+01
18 3.921569e-02 1.000000e+04 -4.349745e-04 -4.349745 -4.349745 1.000000 1.275101e+01
19 3.846154e-02 1.000000e+04 -4.314084e-04 -4.314084 -4.314084 1.000000 1.274950e+01
20 3.773585e-02 1.000000e+04 -6.554124e-04 -6.554124 -6.554124 0.106454 1.274442e+01
21 3.703704e-02 1.100000e+04 -6.944837e-04 -7.639321 -7.639321 0.650649 1.274436e+01
22 3.636364e-02 1.100000e+04 -6.374484e-04 -7.011932 -7.011932 1.000000 1.274605e+01
22 3.571429e-02 1.100000e+04 -7.749446e-04 -7.011932 -8.524390 0.220368 1.274755e+01
23 3.508772e-02 1.100000e+04 -5.514108e-04 -6.065518 -6.065518 1.000000 1.273884e+01
24 3.448276e-02 1.100000e+04 -5.850840e-04 -6.435924 -6.435924 0.690454 1.273954e+01
25 3.389831e-02 1.100000e+04 -7.128013e-04 -7.840814 -7.840814 0.245394 1.273874e+01
26 3.333333e-02 1.100000e+04 -7.821942e-04 -8.604136 -8.604136 0.466115 1.273960e+01
26 3.278689e-02 1.100000e+04 -8.660697e-04 -8.604136 -9.526767 0.397472 1.273965e+01
27 3.225806e-02 1.100000e+04 -7.912362e-04 -8.703598 -8.703598 0.905324 1.274619e+01
27 3.174603e-02 1.100000e+04 -8.297243e-04 -8.703598 -9.126968 0.654837 1.274358e+01
28 3.125000e-02 1.100000e+04 -7.572737e-04 -8.330011 -8.330011 1.000000 1.273896e+01
28 3.076923e-02 1.100000e+04 -8.850798e-04 -8.330011 -9.735877 0.245155 1.273937e+01
29 3.030303e-02 1.100000e+04 -7.380540e-04 -8.118594 -8.118594 1.000000 1.274762e+01
30 2.985075e-02 1.100000e+04 -7.746186e-04 -8.520805 -8.520805 0.668840 1.274453e+01
30 2.941176e-02 1.100000e+04 -9.858257e-04 -8.520805 -10.844083 0.097952 1.274481e+01
30 2.898551e-02 1.100000e+04 -8.247209e-04 -8.520805 -9.071930 0.576301 1.273889e+01
31 2.857143e-02 1.100000e+04 -7.714332e-04 -8.485765 -8.485765 1.000000 1.274534e+01
31 2.816901e-02 1.100000e+04 -8.069632e-04 -8.485765 -8.876595 0.676495 1.274653e+01
32 2.777778e-02 1.100000e+04 -7.093002e-04 -7.802302 -7.802302 1.000000 1.274024e+01
33 2.739726e-02 1.100000e+04 -6.878207e-04 -7.566028 -7.566028 1.000000 1.273899e+01
34 2.702703e-02 1.100000e+04 -7.148643e-04 -7.863507 -7.863507 0.742688 1.273842e+01
34 2.666667e-02 1.100000e+04 -7.797891e-04 -7.863507 -8.577680 0.489597 1.273748e+01
35 2.631579e-02 1.100000e+04 -7.840943e-04 -8.625037 -8.625037 0.466951 1.274751e+01
36 2.597403e-02 1.100000e+04 -8.557509e-04 -9.413259 -9.413259 0.454652 1.274560e+01
37 2.564103e-02 1.100000e+04 -9.089130e-04 -9.998043 -9.998043 0.557226 1.274234e+01
38 2.531646e-02 1.100000e+04 -8.594685e-04 -9.454154 -9.454154 1.000000 1.274398e+01
39 2.500000e-02 1.100000e+04 -7.087080e-04 -7.795788 -7.795788 1.000000 1.274610e+01
40 2.469136e-02 1.100000e+04 -5.686938e-04 -6.255632 -6.255632 1.000000 1.274509e+01
41 2.439024e-02 1.210000e+04 -6.074871e-04 -7.350593 -7.350593 0.625379 1.274633e+01
41 2.409639e-02 1.210000e+04 -1.027750e-03 -7.350593 -12.435776 0.006188 1.274286e+01
41 2.380952e-02 1.210000e+04 -7.870765e-04 -7.350593 -9.523626 0.113832 1.273914e+01
42 2.352941e-02 1.210000e+04 -5.407567e-04 -6.543156 -6.543156 1.000000 1.274407e+01
43 2.325581e-02 1.210000e+04 -4.698889e-04 -5.685656 -5.685656 1.000000 1.274570e+01
44 2.298851e-02 1.210000e+04 -3.381685e-04 -4.091839 -4.091839 1.000000 1.274465e+01
45 2.272727e-02 1.210000e+04 -3.137599e-04 -3.796494 -3.796494 1.000000 1.274452e+01
45 2.247191e-02 1.210000e+04 -4.027460e-04 -3.796494 -4.873227 0.340707 1.274676e+01
46 2.222222e-02 1.210000e+04 -2.676492e-04 -3.238556 -3.238556 1.000000 1.273961e+01
47 2.197802e-02 1.210000e+04 -2.494108e-04 -3.017870 -3.017870 1.000000 1.274046e+01
48 2.173913e-02 1.210000e+04 -2.506859e-04 -3.033300 -3.033300 0.984689 1.273942e+01
49 2.150538e-02 1.210000e+04 -2.514957e-04 -3.043097 -3.043097 0.990250 1.273975e+01
50 2.127660e-02 1.210000e+04 -2.507216e-04 -3.033732 -3.033732 1.000000 1.274009e+01
51 2.105263e-02 1.210000e+04 -2.276982e-04 -2.755148 -2.755148 1.000000 1.274097e+01
52 2.083333e-02 1.210000e+04 -2.331575e-04 -2.821205 -2.821205 0.936077 1.273944e+01
53 2.061856e-02 1.210000e+04 -2.634715e-04 -3.188005 -3.188005 0.692949 1.273913e+01
53 2.040816e-02 1.210000e+04 -3.186091e-04 -3.188005 -3.855170 0.513161 1.273910e+01
54 2.020202e-02 1.210000e+04 -2.535688e-04 -3.068182 -3.068182 1.000000 1.274593e+01
55 2.000000e-02 1.210000e+04 -3.148439e-04 -3.809611 -3.809611 0.476433 1.274431e+01
56 1.980198e-02 1.210000e+04 -3.542035e-04 -4.285863 -4.285863 0.621107 1.274271e+01
57 1.960784e-02 1.210000e+04 -3.140813e-04 -3.800384 -3.800384 1.000000 1.274465e+01
58 1.941748e-02 1.210000e+04 -2.543800e-04 -3.077998 -3.077998 1.000000 1.274611e+01
59 1.923077e-02 1.210000e+04 -2.672752e-04 -3.234030 -3.234030 0.855532 1.274470e+01
60 1.904762e-02 1.210000e+04 -2.847178e-04 -3.445085 -3.445085 0.809729 1.274469e+01
61 1.886792e-02 1.331000e+04 -2.720398e-04 -3.620850 -3.620850 1.000000 1.274525e+01
62 1.869159e-02 1.331000e+04 -3.008496e-04 -4.004309 -4.004309 0.681500 1.274561e+01
63 1.851852e-02 1.331000e+04 -2.821490e-04 -3.755404 -3.755404 1.000000 1.274729e+01
64 1.834862e-02 1.331000e+04 -2.892948e-04 -3.850514 -3.850514 0.909273 1.274302e+01
65 1.818182e-02 1.331000e+04 -2.853366e-04 -3.797830 -3.797830 1.000000 1.274224e+01
65 1.801802e-02 1.331000e+04 -2.985672e-04 -3.797830 -3.973929 0.838535 1.274499e+01
66 1.785714e-02 1.331000e+04 -3.184142e-04 -4.238093 -4.238093 0.643867 1.273715e+01
67 1.769912e-02 1.331000e+04 -2.981860e-04 -3.968855 -3.968855 1.000000 1.273991e+01
68 1.754386e-02 1.331000e+04 -3.094694e-04 -4.119037 -4.119037 0.860551 1.274007e+01
69 1.739130e-02 1.331000e+04 -3.412596e-04 -4.542165 -4.542165 0.654995 1.273849e+01
70 1.724138e-02 1.331000e+04 -3.379956e-04 -4.498721 -4.498721 1.000000 1.273813e+01
70 1.709402e-02 1.331000e+04 -4.276687e-04 -4.498721 -5.692271 0.303143 1.274032e+01
71 1.694915e-02 1.331000e+04 -3.311599e-04 -4.407738 -4.407738 1.000000 1.274504e+01
72 1.680672e-02 1.331000e+04 -3.273098e-04 -4.356493 -4.356493 1.000000 1.274257e+01
73 1.666667e-02 1.331000e+04 -3.237174e-04 -4.308679 -4.308679 1.000000 1.274621e+01
74 1.652893e-02 1.331000e+04 -3.328421e-04 -4.430129 -4.430129 0.885636 1.274853e+01
74 1.639344e-02 1.331000e+04 -4.027026e-04 -4.430129 -5.359971 0.394616 1.274548e+01
75 1.626016e-02 1.331000e+04 -3.018729e-04 -4.017929 -4.017929 1.000000 1.274013e+01
76 1.612903e-02 1.331000e+04 -3.273953e-04 -4.357632 -4.357632 0.711982 1.273911e+01
77 1.600000e-02 1.331000e+04 -3.157209e-04 -4.202245 -4.202245 1.000000 1.273789e+01
78 1.587302e-02 1.331000e+04 -3.112883e-04 -4.143247 -4.143247 1.000000 1.273881e+01
78 1.574803e-02 1.331000e+04 -3.851659e-04 -4.143247 -5.126558 0.374071 1.273790e+01
79 1.562500e-02 1.331000e+04 -2.995464e-04 -3.986962 -3.986962 1.000000 1.274434e+01
80 1.550388e-02 1.331000e+04 -3.065771e-04 -4.080541 -4.080541 0.910666 1.274393e+01
81 1.538462e-02 1.464100e+04 -2.771609e-04 -4.057913 -4.057913 1.000000 1.274357e+01
82 1.526718e-02 1.464100e+04 -2.969226e-04 -4.347243 -4.347243 0.748765 1.274587e+01
83 1.515152e-02 1.464100e+04 -2.895099e-04 -4.238714 -4.238714 1.000000 1.274421e+01
84 1.503759e-02 1.464100e+04 -2.852404e-04 -4.176205 -4.176205 1.000000 1.274279e+01
85 1.492537e-02 1.464100e+04 -2.607090e-04 -3.817040 -3.817040 1.000000 1.274380e+01
85 1.481481e-02 1.464100e+04 -3.037464e-04 -3.817040 -4.447151 0.532533 1.274630e+01
86 1.470588e-02 1.464100e+04 -2.710025e-04 -3.967748 -3.967748 0.860099 1.273825e+01
87 1.459854e-02 1.464100e+04 -3.170752e-04 -4.642297 -4.642297 0.509386 1.273802e+01
87 1.449275e-02 1.464100e+04 -3.742420e-04 -4.642297 -5.479278 0.433016 1.273871e+01
88 1.438849e-02 1.464100e+04 -3.382422e-04 -4.952203 -4.952203 0.733516 1.274454e+01
89 1.428571e-02 1.464100e+04 -3.417733e-04 -5.003902 -5.003902 0.949615 1.274506e+01
90 1.418440e-02 1.464100e+04 -3.638780e-04 -5.327538 -5.327538 0.723514 1.274585e+01
91 1.408451e-02 1.464100e+04 -3.662525e-04 -5.362303 -5.362303 0.965832 1.274379e+01
92 1.398601e-02 1.464100e+04 -3.653572e-04 -5.349195 -5.349195 1.000000 1.274592e+01
93 1.388889e-02 1.464100e+04 -3.683641e-04 -5.393219 -5.393219 0.956930 1.274667e+01
94 1.379310e-02 1.464100e+04 -3.742740e-04 -5.479746 -5.479746 0.917111 1.274619e+01
95 1.369863e-02 1.464100e+04 -3.691621e-04 -5.404903 -5.404903 1.000000 1.274497e+01
96 1.360544e-02 1.464100e+04 -3.549963e-04 -5.197500 -5.197500 1.000000 1.274442e+01
96 1.351351e-02 1.464100e+04 -3.885036e-04 -5.197500 -5.688081 0.612271 1.274742e+01
97 1.342282e-02 1.464100e+04 -3.726815e-04 -5.456429 -5.456429 0.771878 1.273940e+01
98 1.333333e-02 1.464100e+04 -4.024038e-04 -5.891593 -5.891593 0.647159 1.273931e+01
99 1.324503e-02 1.464100e+04 -4.273927e-04 -6.257457 -6.257457 0.693598 1.273817e+01
100 1.315789e-02 1.464100e+04 -4.267143e-04 -6.247524 -6.247524 1.000000 1.273809e+01
100 1.307190e-02 1.610510e+04 -4.892870e-04 -6.872276 -7.880016 0.365043 1.273909e+01
101 1.298701e-02 1.610510e+04 -4.034985e-04 -6.498383 -6.498383 1.000000 1.274759e+01
102 1.290323e-02 1.610510e+04 -3.749644e-04 -6.038838 -6.038838 1.000000 1.274523e+01
103 1.282051e-02 1.610510e+04 -3.937691e-04 -6.341691 -6.341691 0.738708 1.274531e+01
104 1.273885e-02 1.610510e+04 -3.834021e-04 -6.174728 -6.174728 1.000000 1.274559e+01
105 1.265823e-02 1.610510e+04 -4.586876e-04 -7.387209 -7.387209 0.297459 1.274731e+01
106 1.257862e-02 1.610510e+04 -4.635560e-04 -7.465616 -7.465616 0.924588 1.274645e+01
107 1.250000e-02 1.610510e+04 -4.358784e-04 -7.019865 -7.019865 1.000000 1.274536e+01
107 1.242236e-02 1.610510e+04 -4.912575e-04 -7.019865 -7.911750 0.409882 1.274750e+01
108 1.234568e-02 1.610510e+04 -3.920792e-04 -6.314475 -6.314475 1.000000 1.274079e+01
109 1.226994e-02 1.610510e+04 -4.032482e-04 -6.494352 -6.494352 0.835372 1.274201e+01
110 1.219512e-02 1.610510e+04 -4.253802e-04 -6.850791 -6.850791 0.700166 1.274071e+01
111 1.212121e-02 1.610510e+04 -4.312379e-04 -6.945130 -6.945130 0.909974 1.273826e+01
112 1.204819e-02 1.610510e+04 -4.217377e-04 -6.792128 -6.792128 1.000000 1.273849e+01
113 1.197605e-02 1.610510e+04 -4.331281e-04 -6.975571 -6.975571 0.832399 1.273988e+01
114 1.190476e-02 1.610510e+04 -4.716416e-04 -7.595835 -7.595835 0.537803 1.273915e+01
115 1.183432e-02 1.610510e+04 -4.505526e-04 -7.256194 -7.256194 1.000000 1.273763e+01
115 1.176471e-02 1.610510e+04 -4.799287e-04 -7.256194 -7.729299 0.623065 1.274178e+01
116 1.169591e-02 1.610510e+04 -4.294752e-04 -6.916741 -6.916741 1.000000 1.274882e+01
117 1.162791e-02 1.610510e+04 -4.507312e-04 -7.259071 -7.259071 0.710114 1.274572e+01
118 1.156069e-02 1.610510e+04 -4.469880e-04 -7.198787 -7.198787 1.000000 1.274375e+01
119 1.149425e-02 1.610510e+04 -4.381531e-04 -7.056500 -7.056500 1.000000 1.274665e+01
120 1.142857e-02 1.610510e+04 -4.464066e-04 -7.189422 -7.189422 0.875533 1.274883e+01
121 1.136364e-02 1.771561e+04 -4.359102e-04 -7.722414 -7.722414 1.000000 1.274747e+01
122 1.129944e-02 1.771561e+04 -4.718196e-04 -8.358572 -8.358572 0.529322 1.274580e+01
123 1.123596e-02 1.771561e+04 -4.555756e-04 -8.070800 -8.070800 1.000000 1.274292e+01
124 1.117318e-02 1.771561e+04 -4.741817e-04 -8.400418 -8.400418 0.719199 1.274603e+01
125 1.111111e-02 1.771561e+04 -4.478283e-04 -7.933552 -7.933552 1.000000 1.274603e+01
126 1.104972e-02 1.771561e+04 -4.212248e-04 -7.462254 -7.462254 1.000000 1.274590e+01
126 1.098901e-02 1.771561e+04 -4.911267e-04 -7.462254 -8.700608 0.289861 1.274360e+01
127 1.092896e-02 1.771561e+04 -3.813333e-04 -6.755553 -6.755553 1.000000 1.274211e+01
128 1.086957e-02 1.771561e+04 -4.007002e-04 -7.098649 -7.098649 0.709570 1.273926e+01
129 1.081081e-02 1.771561e+04 -3.983400e-04 -7.056837 -7.056837 1.000000 1.274044e+01
130 1.075269e-02 1.771561e+04 -4.422824e-04 -7.835302 -7.835302 0.459110 1.273979e+01
131 1.069519e-02 1.771561e+04 -4.773940e-04 -8.457326 -8.457326 0.536857 1.273961e+01
131 1.063830e-02 1.771561e+04 -5.226543e-04 -8.457326 -9.259139 0.448515 1.273830e+01
132 1.058201e-02 1.771561e+04 -4.042848e-04 -7.162152 -7.162152 1.000000 1.274817e+01
132 1.052632e-02 1.771561e+04 -4.145440e-04 -7.162152 -7.343900 0.833811 1.274538e+01
133 1.047120e-02 1.771561e+04 -4.517899e-04 -8.003733 -8.003733 0.431028 1.274035e+01
134 1.041667e-02 1.771561e+04 -4.070217e-04 -7.210638 -7.210638 1.000000 1.273958e+01
135 1.036269e-02 1.771561e+04 -3.808347e-04 -6.746719 -6.746719 1.000000 1.274220e+01
136 1.030928e-02 1.771561e+04 -3.927934e-04 -6.958574 -6.958574 0.809082 1.273963e+01
137 1.025641e-02 1.771561e+04 -3.895617e-04 -6.901323 -6.901323 1.000000 1.274052e+01
137 1.020408e-02 1.771561e+04 -4.468264e-04 -6.901323 -7.915803 0.362591 1.273925e+01
138 1.015228e-02 1.771561e+04 -3.567057e-04 -6.319258 -6.319258 1.000000 1.274625e+01
138 1.010101e-02 1.771561e+04 -4.444419e-04 -6.319258 -7.873560 0.211337 1.274811e+01
139 1.005025e-02 1.771561e+04 -3.084580e-04 -5.464522 -5.464522 1.000000 1.274213e+01
140 1.000000e-02 1.771561e+04 -3.223846e-04 -5.711239 -5.711239 0.781362 1.273962e+01
141 9.950249e-03 1.948717e+04 -3.319429e-04 -6.468629 -6.468629 0.830053 1.273970e+01
142 9.900990e-03 1.948717e+04 -3.494930e-04 -6.810630 -6.810630 0.710347 1.273953e+01
142 9.852217e-03 1.948717e+04 -4.220110e-04 -6.810630 -8.223800 0.243371 1.273940e+01
143 9.803922e-03 1.948717e+04 -3.323033e-04 -6.475651 -6.475651 1.000000 1.274684e+01
144 9.756098e-03 1.948717e+04 -3.268817e-04 -6.369999 -6.369999 1.000000 1.274499e+01
145 9.708738e-03 1.948717e+04 -2.754864e-04 -5.368451 -5.368451 1.000000 1.274413e+01
146 9.661836e-03 1.948717e+04 -2.579776e-04 -5.027254 -5.027254 1.000000 1.274421e+01
147 9.615385e-03 1.948717e+04 -2.592371e-04 -5.051798 -5.051798 0.975754 1.274593e+01
147 9.569378e-03 1.948717e+04 -2.843575e-04 -5.051798 -5.541323 0.612917 1.274561e+01
148 9.523810e-03 1.948717e+04 -2.463427e-04 -4.800523 -4.800523 1.000000 1.274104e+01
149 9.478673e-03 1.948717e+04 -2.640044e-04 -5.144698 -5.144698 0.708805 1.273875e+01
150 9.433962e-03 1.948717e+04 -2.892134e-04 -5.635951 -5.635951 0.611859 1.273892e+01
151 9.389671e-03 1.948717e+04 -2.925199e-04 -5.700386 -5.700386 0.937597 1.274109e+01
152 9.345794e-03 1.948717e+04 -2.774315e-04 -5.406355 -5.406355 1.000000 1.273944e+01
