accepted delta gamma error Lprev Lstar alpha time
0 1.000000e-01 1.000000e+04 -8.235416e-04 -6.494996 -8.235416 0.175447 1.275278e+01
1 9.523810e-02 1.000000e+04 -5.699675e-04 -5.699675 -5.699675 1.000000 1.274340e+01
2 9.090909e-02 1.000000e+04 -5.655155e-04 -5.655155 -5.655155 1.000000 1.274222e+01
3 8.695652e-02 1.000000e+04 -7.701051e-04 -7.701051 -7.701051 0.129264 1.274390e+01
4 8.333333e-02 1.000000e+04 -5.120871e-04 -5.120871 -5.120871 1.000000 1.274187e+01
5 8.000000e-02 1.000000e+04 -3.379104e-04 -3.379104 -3.379104 1.000000 1.274177e+01
5 7.692308e-02 1.000000e+04 -3.886067e-04 -3.379104 -3.886067 0.602322 1.273989e+01
6 7.407407e-02 1.000000e+04 -3.179685e-04 -3.179685 -3.179685 1.000000 1.274721e+01
7 7.142857e-02 1.000000e+04 -3.800923e-04 -3.800923 -3.800923 0.537278 1.274928e+01
8 6.896552e-02 1.000000e+04 -4.300052e-04 -4.300052 -4.300052 0.607059 1.275037e+01
9 6.666667e-02 1.000000e+04 -3.932186e-04 -3.932186 -3.932186 1.000000 1.275586e+01
10 6.451613e-02 1.000000e+04 -3.842832e-04 -3.842832 -3.842832 1.000000 1.274608e+01
11 6.250000e-02 1.000000e+04 -5.267999e-04 -5.267999 -5.267999 0.240468 1.274781e+01
11 6.060606e-02 1.000000e+04 -8.318644e-04 -5.267999 -8.318644 0.047328 1.274828e+01
12 5.882353e-02 1.000000e+04 -3.879567e-04 -3.879567 -3.879567 1.000000 1.274057e+01
13 5.714286e-02 1.000000e+04 -4.271587e-04 -4.271587 -4.271587 0.675691 1.273954e+01
14 5.555556e-02 1.000000e+04 -3.412466e-04 -3.412466 -3.412466 1.000000 1.274034e+01
14 5.405405e-02 1.000000e+04 -5.869191e-04 -3.412466 -5.869191 0.085715 1.273933e+01
15 5.263158e-02 1.000000e+04 -3.221067e-04 -3.221067 -3.221067 1.000000 1.275048e+01
16 5.128205e-02 1.000000e+04 -3.538632e-04 -3.538632 -3.538632 0.727919 1.274810e+01
17 5.000000e-02 1.000000e+04 -4.143282e-04 -4.143282 -4.143282 0.546265 1.274639e+01
18 4.878049e-02 1.000000e+04 -4.171492e-04 -4.171492 -4.171492 0.972185 1.275014e+01
19 4.761905e-02 1.000000e+04 -3.886528e-04 -3.886528 -3.886528 1.000000 1.275196e+01
20 4.651163e-02 1.000000e+04 -3.560392e-04 -3.560392 -3.560392 1.000000 1.275494e+01
21 4.545455e-02 1.100000e+04 -3.425627e-04 -3.768189 -3.768189 1.000000 1.274958e+01
22 4.444444e-02 1.100000e+04 -3.642418e-04 -4.006660 -4.006660 0.787832 1.274932e+01
23 4.347826e-02 1.100000e+04 -3.777429e-04 -4.155171 -4.155171 0.861990 1.274843e+01
24 4.255319e-02 1.100000e+04 -3.311953e-04 -3.643148 -3.643148 1.000000 1.275034e+01
25 4.166667e-02 1.100000e+04 -3.289128e-04 -3.618041 -3.618041 1.000000 1.274867e+01
25 4.081633e-02 1.100000e+04 -4.784371e-04 -3.618041 -5.262808 0.193057 1.274576e+01
26 4.000000e-02 1.100000e+04 -3.214641e-04 -3.536106 -3.536106 1.000000 1.273917e+01
27 3.921569e-02 1.100000e+04 -2.868640e-04 -3.155504 -3.155504 1.000000 1.274191e+01
28 3.846154e-02 1.100000e+04 -2.642377e-04 -2.906614 -2.906614 1.000000 1.274287e+01
29 3.773585e-02 1.100000e+04 -2.668915e-04 -2.935807 -2.935807 0.971230 1.274220e+01
30 3.703704e-02 1.100000e+04 -2.558357e-04 -2.814193 -2.814193 1.000000 1.273967e+01
31 3.636364e-02 1.100000e+04 -2.546660e-04 -2.801326 -2.801326 1.000000 1.274157e+01
32 3.571429e-02 1.100000e+04 -2.402170e-04 -2.642387 -2.642387 1.000000 1.274025e+01
33 3.508772e-02 1.100000e+04 -3.254696e-04 -3.580166 -3.580166 0.391497 1.274144e+01
34 3.448276e-02 1.100000e+04 -2.777586e-04 -3.055345 -3.055345 1.000000 1.274001e+01
35 3.389831e-02 1.100000e+04 -2.449664e-04 -2.694631 -2.694631 1.000000 1.274050e+01
35 3.333333e-02 1.100000e+04 -4.935700e-04 -2.694631 -5.429270 0.064917 1.274215e+01
36 3.278689e-02 1.100000e+04 -2.525074e-04 -2.777581 -2.777581 0.920397 1.274936e+01
37 3.225806e-02 1.100000e+04 -2.363103e-04 -2.599414 -2.599414 1.000000 1.274820e+01
38 3.174603e-02 1.100000e+04 -2.194034e-04 -2.413437 -2.413437 1.000000 1.274798e+01
39 3.125000e-02 1.100000e+04 -2.008398e-04 -2.209238 -2.209238 1.000000 1.274927e+01
40 3.076923e-02 1.100000e+04 -2.632953e-04 -2.896248 -2.896248 0.503078 1.274852e+01
41 3.030303e-02 1.210000e+04 -2.959104e-04 -3.580516 -3.580516 0.673921 1.274973e+01
41 2.985075e-02 1.210000e+04 -3.241396e-04 -3.580516 -3.922089 0.710651 1.274700e+01
42 2.941176e-02 1.210000e+04 -3.068310e-04 -3.712655 -3.712655 0.876219 1.274132e+01
43 2.898551e-02 1.210000e+04 -3.159681e-04 -3.823214 -3.823214 0.895334 1.273867e+01
44 2.857143e-02 1.210000e+04 -3.185327e-04 -3.854246 -3.854246 0.969445 1.274130e+01
45 2.816901e-02 1.210000e+04 -3.185214e-04 -3.854108 -3.854108 1.000000 1.274256e+01
45 2.777778e-02 1.210000e+04 -5.045530e-04 -3.854108 -6.105091 0.105296 1.273919e+01
46 2.739726e-02 1.210000e+04 -3.049516e-04 -3.689914 -3.689914 1.000000 1.274777e+01
47 2.702703e-02 1.210000e+04 -3.286705e-04 -3.976913 -3.976913 0.750512 1.274994e+01
48 2.666667e-02 1.210000e+04 -3.434858e-04 -4.156178 -4.156178 0.835885 1.275131e+01
48 2.631579e-02 1.210000e+04 -4.180085e-04 -4.156178 -5.057903 0.405869 1.274854e+01
48 2.597403e-02 1.210000e+04 -3.945825e-04 -4.156178 -4.774449 0.538875 1.274567e+01
49 2.564103e-02 1.210000e+04 -3.279198e-04 -3.967830 -3.967830 1.000000 1.274844e+01
49 2.531646e-02 1.210000e+04 -1.011399e-03 -3.967830 -12.237925 0.000256 1.275177e+01
49 2.500000e-02 1.210000e+04 -4.510472e-04 -3.967830 -5.457671 0.225408 1.274082e+01
50 2.469136e-02 1.210000e+04 -3.375419e-04 -4.084257 -4.084257 0.890095 1.275020e+01
50 2.439024e-02 1.210000e+04 -4.619476e-04 -4.084257 -5.589566 0.221949 1.274675e+01
51 2.409639e-02 1.210000e+04 -3.644112e-04 -4.409375 -4.409375 0.722442 1.274013e+01
52 2.380952e-02 1.210000e+04 -3.312048e-04 -4.007578 -4.007578 1.000000 1.273869e+01
