accepted delta gamma error Lprev Lstar alpha time
1 1.000000e-01 1.000000e+04 -3.598840e-04 -3.598840 -3.598840 1.000000 1.284046e+01
2 9.523810e-02 1.000000e+04 -3.329327e-04 -3.329327 -3.329327 1.000000 1.283735e+01
2 9.090909e-02 1.000000e+04 -6.489451e-04 -3.329327 -6.489451 0.042420 1.283595e+01
3 8.695652e-02 1.000000e+04 -2.288898e-04 -2.288898 -2.288898 1.000000 1.283638e+01
3 8.333333e-02 1.000000e+04 -3.093168e-04 -2.288898 -3.093168 0.447414 1.283702e+01
4 8.000000e-02 1.000000e+04 -2.116237e-04 -2.116237 -2.116237 1.000000 1.284111e+01
5 7.692308e-02 1.000000e+04 -2.823460e-04 -2.823460 -2.823460 0.493012 1.283738e+01
5 7.407407e-02 1.000000e+04 -3.328271e-04 -2.823460 -3.328271 0.603619 1.283546e+01
5 7.142857e-02 1.000000e+04 -3.865685e-04 -2.823460 -3.865685 0.352669 1.283424e+01
6 6.896552e-02 1.000000e+04 -3.092151e-04 -3.092151 -3.092151 0.764379 1.283685e+01
7 6.666667e-02 1.000000e+04 -3.148840e-04 -3.148840 -3.148840 0.944888 1.283941e+01
7 6.451613e-02 1.000000e+04 -3.538254e-04 -3.148840 -3.538254 0.677454 1.283874e+01
8 6.250000e-02 1.000000e+04 -2.508183e-04 -2.508183 -2.508183 1.000000 1.283889e+01
9 6.060606e-02 1.000000e+04 -2.987449e-04 -2.987449 -2.987449 0.619238 1.283392e+01
10 5.882353e-02 1.000000e+04 -2.308413e-04 -2.308413 -2.308413 1.000000 1.283399e+01
10 5.714286e-02 1.000000e+04 -3.318134e-04 -2.308413 -3.318134 0.364321 1.283711e+01
11 5.555556e-02 1.000000e+04 -2.472405e-04 -2.472405 -2.472405 0.848749 1.283786e+01
12 5.405405e-02 1.000000e+04 -2.395683e-04 -2.395683 -2.395683 1.000000 1.283545e+01
13 5.263158e-02 1.000000e+04 -2.154076e-04 -2.154076 -2.154076 1.000000 1.283597e+01
13 5.128205e-02 1.000000e+04 -2.567360e-04 -2.154076 -2.567360 0.661474 1.283767e+01
14 5.000000e-02 1.000000e+04 -2.980532e-04 -2.980532 -2.980532 0.437597 1.283394e+01
